sex,elevation,age_banded,bill_depth,bill_culmen,mass,tarsus1,wing_r
F,mid,SY,-99.99,-99.99,10.9,-99.99,62.6
F,mid,ASY,2.88,9.72,10.3,18.32,62
M,mid,ASY,2.95,9.42,9,19.11,64.22
M,mid,SY,3.04,9.94,9.2,19.31,62.88
M,mid,SY,3.06,9.65,9.4,19.1,63.98
M,mid,ASY,2.77,8.94,9.4,18.75,64.79
M,mid,ASY,-99.99,-99.99,9.5,18.24,65.08
M,mid,SY,2.95,9.76,10,18.48,62.35
M,low,SY,-99.99,-99.99,10.7,-99.99,-99.99
F,low,SY,-99.99,-99.99,9.8,-99.99,-99.99
F,low,SY,2.74,10.45,10,18.72,59.93
F,high,ASY,2.9,9.5,9.8,-99.99,61.52
M,high,SY,3.2,8.8,9.1,-99.99,62.8
F,high,SY,3.2,9.4,9.6,-99.99,62
F,high,SY,3.5,9.5,9.5,-99.99,-99.99
M,high,SY,3.3,9.2,-99.99,-99.99,63.1
F,high,AHY,3.5,9.1,9.3,-99.99,61.2
F,high,SY,2.8,9.4,10.2,-99.99,60.1
M,high,ASY,3.3,9,9.8,18.2,65.3
F,high,SY,3.1,8.4,9.5,17.1,-99.99
F,high,SY,3,8.8,9.7,-99.99,60.9
M,high,SY,3.3,9.3,9.8,-99.99,64.2
F,high,SY,3,8.35,9.9,-99.99,60.2
M,high,SY,3.1,9.7,10.6,-99.99,64.7
M,high,SY,3,9.8,-99.99,-99.99,66
F,low,AHY,-99.99,-99.99,10.7,19.4,61.2
F,low,SY,2.9,9.4,10.4,20.3,58.5
M,high,SY,2.95,9.7,10.2,-99.99,64.2
M,high,SY,3.2,10.2,-99.99,-99.99,65
F,high,SY,3.1,10.55,10.2,-99.99,59.6
F,high,SY,2.8,9.7,10.9,-99.99,61.9
M,high,SY,2.6,9.7,9.8,-99.99,63.3
F,low,ASY,2.6,9.9,9.4,18.8,60.8
F,low,SY,2.8,8.9,10.6,19.1,60.6
M,low,ASY,2.8,9.7,10,19,64.3
M,low,AHY,-99.99,-99.99,8.5,21.5,-99.99
M,mid,SY,2.75,9.74,9.6,18.4,63.11
M,mid,SY,2.8,9.39,9,19.82,61.2
M,mid,SY,3.01,9.74,9.3,19.18,63.58
M,mid,SY,-99.99,-99.99,-99.99,-99.99,63.67
F,mid,SY,2.74,9.53,11,19.15,60.87
F,mid,ASY,2.89,10.26,10.6,19.68,59
F,mid,SY,3.1,10.2,10.3,-99.99,-99.99
F,mid,SY,2.88,10.11,11.7,18.86,57.7
F,mid,SY,-99.99,-99.99,10.25,-99.99,-99.99
F,mid,SY,2.79,9.84,10.95,18.85,57.64
F,mid,SY,-99.99,-99.99,10.5,19.14,58.94
F,mid,SY,-99.99,-99.99,10.8,-99.99,-99.99
F,low,SY,-99.99,-99.99,8.2,16.2,-99.99
M,low,SY,-99.99,-99.99,9.6,-99.99,-99.99
F,low,SY,-99.99,-99.99,9.6,-99.99,-99.99
F,low,SY,-99.99,-99.99,8.9,-99.99,-99.99
M,high,SY,-99.99,-99.99,9.7,-99.99,-99.99
F,high,ASY,-99.99,-99.99,10.4,-99.99,-99.99
F,high,SY,-99.99,-99.99,9.5,-99.99,-99.99
F,high,SY,2.75,9.5,9.9,-99.99,61.1
F,high,SY,-99.99,-99.99,9.1,-99.99,-99.99
M,low,SY,-99.99,-99.99,9,-99.99,-99.99
M,low,SY,2.9,9.5,9.7,17.5,56.4
F,low,SY,-99.99,-99.99,9.9,-99.99,-99.99
M,low,ASY,-99.99,-99.99,10.1,-99.99,-99.99
M,low,SY,-99.99,-99.99,9.9,-99.99,-99.99
M,mid,SY,-99.99,-99.99,9.8,-99.99,-99.99
M,mid,SY,3.06,10.24,9.6,20.69,64.29
M,low,SY,-99.99,-99.99,10,-99.99,-99.99
M,low,SY,-99.99,-99.99,10.2,-99.99,-99.99
M,low,SY,-99.99,-99.99,10.3,-99.99,-99.99
F,low,SY,-99.99,-99.99,9.5,-99.99,-99.99
F,low,SY,-99.99,-99.99,9.5,-99.99,-99.99
F,low,SY,2.7,9.9,10.4,18.7,61.1
F,high,AHY,-99.99,-99.99,9.7,-99.99,-99.99
F,mid,ASY,3.09,9.69,10.7,19.16,58.69
F,mid,ASY,-99.99,-99.99,10.1,-99.99,-99.99
F,mid,ASY,-99.99,-99.99,10.2,18.75,61.28
F,mid,SY,-99.99,-99.99,-99.99,19.69,59.33
F,mid,ASY,3,10.39,10.4,18.48,58.43
F,mid,SY,2.89,10.19,9.9,19.34,58.53
F,mid,SY,2.82,10.45,10.4,19.56,59.32
F,mid,ASY,3.06,10.34,10.7,19.17,60.83
F,mid,ASY,-99.99,-99.99,10.3,18.75,61
M,mid,SY,2.96,9.7,9.5,18.79,63
M,mid,SY,-99.99,-99.99,9.8,19.2,63.04
M,mid,SY,-99.99,-99.99,9.8,19.15,64.15
M,mid,SY,2.53,9.23,8.6,17.77,60.5
F,mid,SY,3.1,9.8,-99.99,18.52,60.75
F,mid,ASY,3.06,10.16,10.7,19.01,61.44
M,mid,SY,2.97,10.28,9.9,18.82,64.56
M,mid,SY,2.76,9.24,9,18.45,62.82
M,mid,SY,2.86,9.94,10.2,19.44,63.75
M,mid,SY,2.86,10.05,9.3,19.41,61.63
M,mid,SY,2.91,10.23,9.5,20.27,64.26
M,mid,SY,3.12,10.35,9.55,-99.99,64.57
M,mid,SY,3.01,10.51,9.2,20.1,62.45
M,mid,SY,2.95,9.16,9.1,19.66,62.75
F,low,ASY,2.6,9.5,10.1,19,60.4
M,low,ASY,2.8,9.9,9.7,18.9,66.7
F,low,AHY,2.8,9,10.6,17.9,58.7
M,high,ASY,2.7,8.7,9.3,-99.99,65.7
F,low,SY,2.8,9.6,11.6,19.5,61.2
M,high,ASY,3,10.3,9.5,-99.99,64.4
M,high,SY,3.15,10.9,9.9,-99.99,65.3
M,low,ASY,2.6,9.5,10.1,19.4,63.9
F,high,ASY,3,9.6,9.8,-99.99,61.9
F,high,ASY,2.65,10,9.1,-99.99,60.03
M,high,SY,2.9,11.05,10.7,-99.99,63
M,mid,SY,3,10.71,10.6,19.5,63.27
M,mid,SY,-99.99,-99.99,10.3,19.11,64.5
M,mid,SY,-99.99,-99.99,10.6,19.39,65.18
F,mid,SY,2.82,10.22,11.3,19.9,60.94
F,mid,SY,-99.99,-99.99,10.6,19.78,-99.99
F,mid,ASY,2.87,9.81,10.4,18.85,60.24
M,mid,SY,3.06,10.52,9.6,20.14,63.42
M,mid,SY,-99.99,-99.99,9.3,20.37,64.43
M,mid,SY,-99.99,-99.99,9.7,19.33,-99.99
F,mid,SY,2.72,9.57,10.55,19.35,58.95
F,mid,ASY,2.68,9.45,10.9,18.98,61.53
F,mid,SY,-99.99,-99.99,10.8,19.24,-99.99
F,mid,ASY,3,9.14,10.4,19.19,-99.99
M,mid,ASY,2.99,10.48,10.4,19.36,66.82
M,mid,SY,2.78,9.58,10.1,19.05,62.88
M,high,SY,2.7,9.5,9.5,-99.99,65
M,high,ASY,2.8,9.2,11,-99.99,65
M,high,SY,2.6,11,10,-99.99,63
M,high,SY,2.8,9.7,10,-99.99,65
M,high,SY,2.7,9.8,10,-99.99,65
M,high,ASY,2.9,9.2,11.5,-99.99,64.5
M,high,ASY,3,10,10.25,-99.99,67
M,high,SY,-99.99,-99.99,-99.99,-99.99,-99.99
M,high,SY,2.5,8.3,9.4,-99.99,60
M,high,ASY,2.9,10.9,9.75,-99.99,65
M,high,SY,3,10.5,10.75,-99.99,67
F,high,SY,2.8,10,9.5,-99.99,59.5
F,high,SY,2.9,10.4,9,-99.99,58
F,high,AHY,3,9.8,8.75,-99.99,55
M,high,SY,3,8.5,9.25,-99.99,62.5
F,high,AHY,3,9.2,8.5,-99.99,60
F,high,ASY,3,9.65,10.1,17.9,60.25
F,high,SY,2.6,9.4,9,-99.99,58
F,high,AHY,3.1,9.3,10.5,-99.99,55
M,high,SY,3,10.5,10,-99.99,62.5
F,high,SY,3.1,8.2,9.5,-99.99,59.5
F,high,SY,3,10.3,11.5,-99.99,60
M,high,SY,2.9,10,10.5,-99.99,62
F,high,SY,3.4,9.6,9.5,-99.99,60.5
F,mid,SY,2.96,8.59,10.9,20.25,59.45
F,mid,SY,3.36,9.23,10.4,-99.99,58.98
F,mid,ASY,3.01,9.46,11.3,-99.99,59.3
M,mid,SY,2.1,9.47,-99.99,20.33,64.5
M,mid,SY,-99.99,-99.99,10,-99.99,-99.99
F,mid,SY,2.71,8.86,10.25,20.16,60.46
F,mid,SY,2.73,9.5,10.4,-99.99,59.33
F,mid,SY,-99.99,-99.99,11.6,-99.99,61.96
F,mid,SY,2.75,9.94,10.8,21.28,60.02
F,mid,SY,2.96,9.36,10.9,18.09,59.8
F,mid,SY,2.75,9.59,10,17.8,59.25
F,high,SY,-99.99,-99.99,9.9,18.84,-99.99
M,mid,SY,3,9.76,9.2,18.36,63.34
F,mid,SY,-99.99,-99.99,10,18.24,-99.99
M,mid,SY,-99.99,-99.99,9.9,19.13,-99.99
M,mid,SY,-99.99,-99.99,-99.99,-99.99,-99.99
M,mid,ASY,2.89,10.01,9.3,19,63.72
M,mid,ASY,2.96,9.96,9.2,18.81,64.02
M,mid,SY,-99.99,-99.99,10,19.33,-99.99
M,mid,SY,-99.99,-99.99,9.6,19.26,62.55
M,mid,SY,2.9,9.32,10.5,19.96,-99.99
M,mid,SY,-99.99,-99.99,10.2,-99.99,-99.99
F,mid,SY,-99.99,-99.99,9.9,-99.99,-99.99
F,mid,SY,-99.99,-99.99,10.9,-99.99,-99.99
M,mid,ASY,2.93,9.94,9.8,19.59,-99.99
M,mid,ASY,-99.99,-99.99,9.5,-99.99,63.61
M,mid,ASY,2.9,9.8,9.3,-99.99,64.5
F,mid,SY,-99.99,-99.99,10.7,19.41,-99.99
M,mid,SY,2.73,9.13,9.8,18.68,65.31
F,mid,SY,2.78,10.18,10.8,18.09,60.19
M,mid,SY,2.96,9.09,9.5,19.13,63.18
F,mid,SY,2.82,8.91,9.6,17.75,-99.99
F,mid,SY,2.7,8.5,8.5,18.2,59.3
F,mid,ASY,2.93,10.14,9.9,19.26,59.41
M,mid,SY,-99.99,-99.99,9.7,-99.99,-99.99
F,mid,SY,-99.99,-99.99,10.6,-99.99,-99.99
F,mid,AHY,-99.99,-99.99,11,-99.99,-99.99
F,mid,ASY,2.93,9.89,10.2,19.33,-99.99
M,mid,SY,-99.99,-99.99,9.7,-99.99,-99.99
M,mid,SY,2.86,9.84,-99.99,-99.99,62.79
M,mid,SY,-99.99,-99.99,9.4,19.16,62.83
M,mid,SY,-99.99,-99.99,9.55,-99.99,62.55
M,mid,SY,3.1,10.03,9.8,17.6,64.5
M,low,ASY,2.9,9.6,10.3,-99.99,65
M,low,SY,2.6,9.7,9,-99.99,61.7
M,low,SY,3,9.7,10.2,-99.99,60.8
M,low,ASY,2.8,9.4,8.7,-99.99,64.6
M,low,ASY,3,9.4,9.4,-99.99,65
M,low,SY,3,9.6,10.1,-99.99,62
M,low,SY,2.9,9.9,9.4,-99.99,60.8
M,low,ASY,3.1,10.2,9.5,-99.99,67.6
F,low,ASY,3,8.5,9,-99.99,61.5
M,low,SY,3,10,9.8,-99.99,64
F,low,ASY,3,10.5,9.2,-99.99,62.7
F,low,ASY,2.8,9.9,9.4,-99.99,58.6
F,low,ASY,2.9,9.5,9.2,-99.99,62.6
F,low,SY,3,9.9,10.8,-99.99,59.5
M,low,SY,3,10,9.3,-99.99,61
M,low,SY,3,10,9.5,-99.99,60.5
F,low,SY,2.9,9.6,10.8,-99.99,59.8
F,low,SY,2.9,10,9.4,-99.99,59.6
M,low,SY,2.9,7.6,8.7,-99.99,60.05
M,high,ASY,2.9,10.2,10.8,-99.99,65
M,high,SY,2.9,10.2,10,-99.99,63
M,high,SY,2.9,9.8,9.5,-99.99,64
M,high,ASY,2.8,9.2,9.8,-99.99,66
F,low,ASY,2.7,8.7,9.2,-99.99,61
M,high,ASY,2.8,9.5,9.5,-99.99,64
M,high,ASY,2.8,10.2,10.3,-99.99,66
M,high,ASY,3.1,10.2,10.5,-99.99,66
M,high,ASY,2.9,10.5,10.5,-99.99,63
F,mid,SY,2.9,9.6,9.9,18.6,59.6
F,mid,SY,3.23,9.31,10,18.77,59.44
F,mid,SY,2.8,9.5,9.6,18.2,56.8
F,mid,SY,2.87,9.67,10.45,-99.99,57.08
F,mid,SY,2.9,9.9,10.5,18,59
M,mid,SY,3,10.7,10.2,19.5,65.4
M,mid,SY,-99.99,-99.99,11,20.17,65.18
F,mid,SY,2.8,10.1,10.1,17.7,59.8
M,mid,SY,3.1,10.1,9.3,18.7,62.7
F,mid,SY,2.9,9.9,10,18.4,58.7
F,mid,SY,2.9,9,9.8,17.6,60.2
F,mid,SY,-99.99,-99.99,11,-99.99,60.55
F,mid,SY,2.74,9.89,10.25,-99.99,60.25
M,mid,SY,2.9,9.57,10.05,18.95,63.38
M,mid,SY,2.91,10.22,9.7,19.9,63.76
F,mid,ASY,-99.99,-99.99,10.3,-99.99,-99.99
M,mid,SY,-99.99,-99.99,9.6,19.32,62.05
M,mid,ASY,-99.99,-99.99,-99.99,-99.99,-99.99
M,mid,SY,-99.99,-99.99,9.7,-99.99,-99.99
M,mid,SY,2.82,9.62,9.4,18.95,-99.99
M,mid,SY,2.74,9.58,9.1,19.17,63.54
M,mid,SY,-99.99,-99.99,10.5,19.84,-99.99
M,mid,SY,3.02,10.35,10,19.94,63.5
M,mid,SY,2.55,10.58,9.4,-99.99,61.1
M,mid,SY,-99.99,-99.99,9,18.08,63.11
M,mid,SY,2.81,9.48,9.3,18.26,64.71
F,mid,AHY,-99.99,-99.99,-99.99,-99.99,59.65
F,mid,AHY,2.85,9.57,10.1,17.36,58.96
M,mid,SY,3.3,9.77,9,19.11,62.91
M,mid,SY,-99.99,-99.99,8.5,-99.99,63
M,mid,SY,2.7,8.5,10,19.7,61.5
M,mid,SY,-99.99,-99.99,10.2,-99.99,-99.99
M,mid,SY,3.5,9.2,9.5,19.8,60.5
F,mid,AHY,2.97,9.42,10.05,-99.99,60.33
F,mid,ASY,2.56,8.99,10.4,-99.99,59.89
F,mid,ASY,3.21,9.6,10.9,19.27,63.03
F,mid,ASY,-99.99,-99.99,9.1,-99.99,-99.99
F,mid,SY,3.17,9.84,10,20.94,60.47
F,mid,SY,3.09,9.55,11.1,19.81,58.11
F,mid,ASY,-99.99,-99.99,9.2,-99.99,60.06
M,low,SY,3.2,9.4,8.5,-99.99,63
M,low,SY,3.1,9.2,9.6,19.8,64
M,low,SY,2.9,9.4,9.4,-99.99,65
M,low,SY,3,9.3,10.2,-99.99,64
M,low,SY,2.8,9.7,9.8,-99.99,65
M,high,SY,3,9.7,-99.99,19.2,62.8
M,low,SY,-99.99,9.3,10.1,-99.99,63.3
M,low,SY,2.9,9.2,9.8,19.7,62.1
M,high,SY,2.8,9.2,9.2,18.2,62
M,high,SY,2.8,9.9,9.4,18.8,61.7
M,low,SY,2.9,9.5,9.7,19.5,64.1
M,low,ASY,3.3,9.5,-99.99,18,63.2
M,high,SY,-99.99,-99.99,9.4,-99.99,64.7
M,high,SY,2.8,9,9.7,-99.99,63.7
M,high,SY,3.02,9.84,10,19.41,64
M,high,SY,2.9,9.4,10.2,18.8,-99.99
F,high,ASY,-99.99,9.4,10.5,-99.99,61.3
M,high,SY,2.9,9.4,-99.99,-99.99,64.5
M,high,SY,2.9,10,9.2,-99.99,62.1
F,low,SY,2.9,9.5,-99.99,-99.99,59.7
F,low,SY,2.8,9.3,10.9,-99.99,60.04
M,low,ASY,2.9,9.9,10,-99.99,64.8
F,low,ASY,2.7,9.9,9.7,-99.99,57.8
F,low,SY,2.8,9.4,10.6,-99.99,59.5
F,low,SY,2.8,9.7,10.5,-99.99,61.9
F,high,AHY,3,10,10.2,-99.99,61
F,high,SY,2.9,9.3,10.6,-99.99,61.8
M,high,ASY,2.9,9,10,-99.99,63
F,high,ASY,2.8,9.3,9.6,-99.99,60
F,low,AHY,-99.99,-99.99,8.25,15,-99.99
M,high,SY,2.7,10.6,9.6,-99.99,62.3
F,low,AHY,-99.99,-99.99,-99.99,-99.99,-99.99
M,low,ASY,-99.99,-99.99,-99.99,-99.99,63.6
M,high,SY,2.8,9.8,-99.99,-99.99,62.2
F,high,SY,2.8,9.4,9.5,-99.99,58.7
F,mid,ASY,-99.99,-99.99,9.5,-99.99,61.65
F,mid,SY,2.83,9.67,10.25,-99.99,57.12
F,mid,SY,2.84,9.82,10.75,-99.99,60.77
F,mid,SY,-99.99,-99.99,10.6,19.51,-99.99
F,mid,SY,2.29,10.25,9.45,-99.99,58.6
F,mid,AHY,2.81,10.57,11.15,-99.99,59.63
F,mid,AHY,-99.99,-99.99,11.15,-99.99,60.21
F,mid,SY,2.79,9.21,10.75,-99.99,60.1
M,mid,SY,3.4,9.93,10,19.61,61.66
M,mid,SY,3.28,10.1,9.4,19.84,63.1
M,mid,SY,2.86,9.82,9.3,18.86,63.7
M,mid,SY,2.85,9.76,9.2,-99.99,65
M,mid,SY,3.1,10.26,9.5,19.59,61.08
M,mid,SY,3.01,9.89,10,19.21,63.35
F,high,AHY,3,10.2,-99.99,-99.99,58
F,high,AHY,3,10.1,9.25,-99.99,60
F,high,AHY,2.7,9.3,9.75,-99.99,60
M,high,ASY,2.9,9.2,9.7,18.8,63.6
M,high,ASY,3.27,9.22,10,-99.99,-99.99
M,low,SY,2.9,10.2,10.3,19.2,-99.99
F,high,ASY,2.8,10.3,9.9,19,-99.99
F,high,ASY,2.9,10,11,19.4,61
M,low,ASY,3,9.9,9.75,18.3,-99.99
F,low,SY,2.8,9.9,9.4,18.7,-99.99
F,high,ASY,3,10.2,10.1,18.7,-99.99
F,high,ASY,3,10.2,9.7,-99.99,59.6
F,high,ASY,2.8,9.5,9.8,18.3,-99.99
M,high,SY,3,9.7,9.4,17.7,60.8
M,mid,ASY,3.62,9.63,10,18.14,64.41
M,mid,ASY,-99.99,9.07,9.95,18.46,63.47
M,mid,ASY,2.7,9.64,10.3,18.86,62.25
M,mid,ASY,2.89,10.15,9.6,19.19,64.26
M,mid,SY,2.85,8.89,9.5,19.03,61.08
M,mid,SY,2.89,9.65,9.4,18.54,62.15
F,mid,ASY,2.81,9.53,10.8,19.32,-99.99
F,mid,ASY,-99.99,-99.99,10.5,18.71,-99.99
M,high,ASY,-99.99,-99.99,8.9,17.74,65.44
M,mid,SY,-99.99,9.69,9.7,19.56,61
M,low,SY,2.95,9.96,9.2,17.75,64
M,low,ASY,2.99,10.08,9.7,18.66,65.5
M,low,SY,2.78,9.19,9.6,17.59,62.5
M,low,SY,3.02,9.31,9.8,17.48,61.5
F,low,SY,3.14,10.07,11,18.01,58
M,low,SY,2.87,10.45,10,19.41,62.5
F,low,SY,2.4,8.8,9,18.2,59.6
M,low,SY,3.09,9.63,9.7,18.03,62.5
F,low,SY,3.5,10.56,9.8,18.89,59
F,low,SY,3.13,10.67,9.9,19.44,61.5
F,low,SY,2.9,9.3,11.5,19.5,61.9
F,low,ASY,2.97,10.28,11,19.4,59.5
F,low,ASY,2.92,10,10.9,18.67,59
F,low,SY,2.94,10.06,9.6,18.09,58
F,high,SY,2.75,9.48,11.1,-99.99,62.5
F,mid,ASY,2.88,9.94,10.1,18.31,60
M,mid,SY,3.1,9.68,9.3,18.8,64
M,mid,SY,3.18,9.57,9.8,18.79,65
F,mid,ASY,2.7,10.1,10.3,18.1,59.5
F,mid,SY,2.9,10.4,10.7,19,61.5
F,mid,ASY,2.78,9.68,10.1,17.92,61.34
F,mid,SY,2.9,9.4,10.5,19.5,60
M,mid,SY,2.9,9.4,10.2,18.4,63.9
F,mid,ASY,2.75,9.55,10.45,18.5,60.9
F,mid,ASY,2.9,9.7,10.7,19.5,60.2
F,mid,SY,2.9,9.2,9.8,18.7,58.5
F,mid,SY,3,9.4,9.85,18.4,56.7
F,mid,ASY,3.34,10.45,11,18.22,-99.99
F,mid,AHY,2.8,9.98,11.1,18.25,60.06
F,mid,SY,3.2,9.2,10.15,18.4,59.6
F,mid,ASY,3.1,9.9,9.2,19.2,62.4
M,mid,SY,3.1,9.2,10.5,19.5,60.6
M,mid,SY,2.79,9.37,10.1,17.98,61.63
F,mid,SY,2.86,9.36,10.8,18.69,62.18
M,low,SY,2.82,9.64,8.9,20.37,64.27
M,low,ASY,3.01,9.26,9.8,19.43,-99.99
M,low,ASY,2.92,10.14,9.5,20.14,62.25
F,low,ASY,2.91,10.28,10.9,19.94,-99.99
M,high,SY,2.81,9.81,9.9,18.29,62.71
M,high,SY,3.01,9.66,9.1,19.48,-99.99
M,high,ASY,2.82,9.24,9.8,18.96,-99.99
M,mid,ASY,3.05,9.55,9.3,-99.99,65
M,mid,SY,3.01,9.19,-99.99,18.97,60
F,low,AHY,2.88,9.85,11,-99.99,60.5
F,low,ASY,3.01,9.81,10.7,-99.99,60
F,low,ASY,3.09,6.8,11.1,-99.99,60.5
F,mid,AHY,2.87,9.5,10.3,-99.99,62.5
F,mid,ASY,2.95,9.44,-99.99,-99.99,59.5
F,mid,ASY,2.81,8.87,11.1,-99.99,61
F,low,SY,2.84,10.17,11.5,-99.99,59.5
F,low,AHY,2.85,9.95,10.5,18.37,61
F,low,AHY,2.86,9.65,-99.99,-99.99,60
M,low,SY,3.04,9.59,10.4,19.7,65
M,high,ASY,3.41,8.23,9.7,-99.99,64
F,mid,SY,2.97,9.6,10,17.82,61.76
M,mid,ASY,2.8,9.66,10,19.38,-99.99
F,mid,AHY,2.9,10.3,11.1,18.1,60.5
M,mid,ASY,2.9,9,9.5,-99.99,63.5
F,mid,SY,2.9,9.4,9.5,-99.99,58.5
F,mid,SY,2.8,10.2,10.3,-99.99,58.5
F,mid,SY,2.9,9.9,11,18.8,60.5
F,mid,SY,2.8,9.4,10.2,-99.99,61.5
F,mid,SY,3,10.1,11,18.4,61
M,mid,SY,2.9,9.6,10,17.6,62
M,mid,SY,3,8.7,10,18.9,61.5
